id,year,state_abbr,race_id,population
613,2020,DC,1,318631
614,2020,DC,2,2438
615,2020,DC,3,28762
616,2020,DC,4,328
617,2020,DC,5,29745
618,2021,DC,0,276373
619,2021,DC,1,305109
620,2021,DC,2,1984
621,2021,DC,3,27988
622,2021,DC,4,359
623,2021,DC,5,38857
624,2009,DE,0,626289
625,2009,DE,1,176743
626,2009,DE,2,2588
627,2009,DE,3,25084
628,2009,DE,4,134
629,2009,DE,5,14894
630,2010,DE,0,626426
631,2010,DE,1,185253
632,2010,DE,2,3076
633,2010,DE,3,27914
634,2010,DE,4,457
635,2010,DE,5,18237
636,2011,DE,0,630804
637,2011,DE,1,188519
638,2011,DE,2,3109
639,2011,DE,3,28726
640,2011,DE,4,442
641,2011,DE,5,19435
642,2012,DE,0,634259
643,2012,DE,1,192629
644,2012,DE,2,2877
645,2012,DE,3,29177
646,2012,DE,4,377
647,2012,DE,5,20916
648,2013,DE,0,635474
649,2013,DE,1,194964
650,2013,DE,2,3010
651,2013,DE,3,30422
652,2013,DE,4,567
653,2013,DE,5,23066
654,2014,DE,0,639354
655,2014,DE,1,198028
656,2014,DE,2,3134
657,2014,DE,3,31745
658,2014,DE,4,494
659,2014,DE,5,23936
660,2015,DE,0,642623
661,2015,DE,1,200481
662,2015,DE,2,3140
663,2015,DE,3,33643
664,2015,DE,4,306
665,2015,DE,5,25266
666,2016,DE,0,647002
667,2016,DE,1,203027
668,2016,DE,2,3494
669,2016,DE,3,34428
670,2016,DE,4,461
671,2016,DE,5,25831
672,2017,DE,0,652170
673,2017,DE,1,206290
674,2017,DE,2,3482
675,2017,DE,3,36553
676,2017,DE,4,465
677,2017,DE,5,26260
678,2018,DE,0,654905
679,2018,DE,1,209892
680,2018,DE,2,3455
681,2018,DE,3,36723
682,2018,DE,4,477
683,2018,DE,5,26009
684,2019,DE,0,658237
685,2019,DE,1,212302
686,2019,DE,2,3729
687,2019,DE,3,37009
688,2019,DE,4,542
689,2019,DE,5,27079
690,2020,DE,0,652587
691,2020,DE,1,212795
692,2020,DE,2,3560
693,2020,DE,3,38528
694,2020,DE,4,705
695,2020,DE,5,37567
696,2021,DE,0,645409
697,2021,DE,1,215745
698,2021,DE,2,3064
699,2021,DE,3,39684
700,2021,DE,4,383
701,2021,DE,5,49512
702,2009,FL,0,13958847
703,2009,FL,1,2799699
704,2009,FL,2,54985
705,2009,FL,3,417740
706,2009,FL,4,9959
707,2009,FL,5,331066
708,2010,FL,0,14115228
709,2010,FL,1,2900412
710,2010,FL,2,54570
711,2010,FL,3,444584
712,2010,FL,4,10797
713,2010,FL,5,361900
714,2011,FL,0,14270053
715,2011,FL,1,2946899
716,2011,FL,2,58192
717,2011,FL,3,455403
718,2011,FL,4,11005
719,2011,FL,5,382884
720,2012,FL,0,14438364
721,2012,FL,1,3005551
722,2012,FL,2,58119
723,2012,FL,3,464587
724,2012,FL,4,11575
725,2012,FL,5,409903
726,2013,FL,0,14568521
727,2013,FL,1,3056152
728,2013,FL,2,58390
729,2013,FL,3,475905
730,2013,FL,4,11258
731,2013,FL,5,430455
732,2014,FL,0,14747196
733,2014,FL,1,3114841
734,2014,FL,2,59121
735,2014,FL,3,490833
736,2014,FL,4,12128
737,2014,FL,5,453399
738,2015,FL,0,14934702
739,2015,FL,1,3171108
740,2015,FL,2,54569
741,2015,FL,3,509085
742,2015,FL,4,11024
743,2015,FL,5,472082
744,2016,FL,0,15130748
745,2016,FL,1,3216994
746,2016,FL,2,52904
747,2016,FL,3,521272
748,2016,FL,4,11288
749,2016,FL,5,495368
750,2017,FL,0,15343997
751,2017,FL,1,3270863
752,2017,FL,2,56730
753,2017,FL,3,543394
754,2017,FL,4,12342
755,2017,FL,5,514823
756,2018,FL,0,15529098
757,2018,FL,1,3316376
758,2018,FL,2,58118
759,2018,FL,3,559168
760,2018,FL,4,12887
761,2018,FL,5,542340
762,2019,FL,0,15702256
763,2019,FL,1,3359031
764,2019,FL,2,59320
765,2019,FL,3,571276
766,2019,FL,4,12653
767,2019,FL,5,572021
768,2020,FL,0,15199588
769,2020,FL,1,3381061
770,2020,FL,2,55655
771,2020,FL,3,590668
772,2020,FL,4,13339
773,2020,FL,5,1277017
774,2021,FL,0,14449017
775,2021,FL,1,3358469
776,2021,FL,2,54466
777,2021,FL,3,596862
778,2021,FL,4,13065
779,2021,FL,5,2001725
780,2009,GA,0,5899345
781,2009,GA,1,2818524
782,2009,GA,2,23947
783,2009,GA,3,268831
784,2009,GA,4,4988
785,2009,GA,5,132569
786,2010,GA,0,5788255
787,2010,GA,1,2873069
788,2010,GA,2,23234
789,2010,GA,3,296986
790,2010,GA,4,4850
791,2010,GA,5,143911
792,2011,GA,0,5849795
793,2011,GA,1,2922448
794,2011,GA,2,23979
795,2011,GA,3,308677
796,2011,GA,4,4653
797,2011,GA,5,160652
798,2012,GA,0,5903173
799,2012,GA,1,2970481
800,2012,GA,2,24937
801,2012,GA,3,318530
802,2012,GA,4,4498
803,2012,GA,5,178503
804,2013,GA,0,5948977
805,2013,GA,1,3010984
806,2013,GA,2,24496
807,2013,GA,3,330392
808,2013,GA,4,4554
809,2013,GA,5,193170
810,2014,GA,0,5989234
811,2014,GA,1,3056726
812,2014,GA,2,25137
813,2014,GA,3,344195
814,2014,GA,4,4317
815,2014,GA,5,200871
816,2015,GA,0,6025691
817,2015,GA,1,3096757
818,2015,GA,2,25887
819,2015,GA,3,360448
820,2015,GA,4,4704
821,2015,GA,5,213803
822,2016,GA,0,6039389
823,2016,GA,1,3148134
824,2016,GA,2,28950
825,2016,GA,3,373983
826,2016,GA,4,4916
827,2016,GA,5,222457
828,2017,GA,0,6061821
829,2017,GA,1,3195268
830,2017,GA,2,30552
831,2017,GA,3,388946
832,2017,GA,4,5237
833,2017,GA,5,237241
834,2018,GA,0,6079976
835,2018,GA,1,3239300
836,2018,GA,2,33484
837,2018,GA,3,402501
838,2018,GA,4,6095
839,2018,GA,5,252448
840,2019,GA,0,6098889
841,2019,GA,1,3289020
842,2019,GA,2,37440
843,2019,GA,3,414481
844,2019,GA,4,6233
845,2019,GA,5,265912
846,2020,GA,0,6020265
847,2020,GA,1,3319844
848,2020,GA,2,34962
849,2020,GA,3,434603
850,2020,GA,4,7127
851,2020,GA,5,393169
852,2021,GA,0,5934931
853,2021,GA,1,3350903
854,2021,GA,2,34928
855,2021,GA,3,448181
856,2021,GA,4,6894
857,2021,GA,5,514903
858,2009,HI,0,344681
859,2009,HI,1,30995
860,2009,HI,2,3781
861,2009,HI,3,493178
862,2009,HI,4,112940
863,2009,HI,5,278005
864,2010,HI,0,333842
865,2010,HI,1,21170
866,2010,HI,2,3506
867,2010,HI,3,525848
868,2010,HI,4,127661
869,2010,HI,5,305600
870,2011,HI,0,335908
871,2011,HI,1,21628
872,2011,HI,2,3198
873,2011,HI,3,524274
874,2011,HI,4,129157
875,2011,HI,5,316096
876,2012,HI,0,339079
877,2012,HI,1,22399
