incident_id,incident_year,incident_date,jurisdiction_id,state_abbr,offender_race_id,offender_count,victim_count
137168,2009,2009-10-03,0,CA,0,15,3
137169,2009,2009-10-21,0,CA,6,0,1
137170,2009,2009-10-25,5,CA,0,1,2
137171,2009,2009-03-04,1,CA,6,0,1
137172,2009,2009-02-01,0,CA,0,2,1
137173,2009,2009-04-12,0,CA,0,7,1
137174,2009,2009-11-02,0,CA,6,0,1
137175,2009,2009-01-16,0,CA,0,2,1
137176,2009,2009-07-26,0,CA,6,0,1
137177,2009,2009-04-10,0,CA,0,2,1
137178,2009,2009-06-04,0,CA,0,2,1
137179,2009,2009-07-17,0,CA,6,0,1
137180,2009,2009-10-11,0,CA,6,0,1
137181,2009,2009-10-21,0,CA,6,0,1
137182,2009,2009-01-24,0,CA,0,2,1
137183,2009,2009-08-24,0,CA,6,0,1
137184,2009,2009-08-22,0,CA,0,1,2
137185,2009,2009-11-25,0,CA,6,0,1
137186,2009,2009-04-10,0,CA,6,0,1
137187,2009,2009-07-10,0,CA,0,1,1
137188,2009,2009-07-16,0,CA,0,1,1
137189,2009,2009-09-19,0,CA,0,1,1
137190,2009,2009-12-02,0,CA,6,0,1
137191,2009,2009-09-07,0,CA,6,0,2
137192,2009,2009-04-15,7,CA,1,4,1
137193,2009,2009-02-17,5,CA,0,1,1
137194,2009,2009-09-30,0,CA,3,1,1
137195,2009,2009-10-20,0,CA,6,0,2
137196,2009,2009-07-16,1,CA,6,1,1
137197,2009,2009-10-17,1,CA,0,1,1
137198,2009,2009-05-20,0,CA,0,3,1
137199,2009,2009-01-29,0,CA,0,1,1
137200,2009,2009-10-13,0,CA,6,0,1
137201,2009,2009-10-09,0,CA,0,1,2
137202,2009,2009-03-12,0,CA,0,1,1
137203,2009,2009-03-19,0,CA,1,2,1
137204,2009,2009-04-28,0,CA,6,0,1
137205,2009,2009-06-01,0,CA,0,1,1
137206,2009,2009-07-15,0,CA,0,1,1
137207,2009,2009-08-27,0,CA,6,1,1
137208,2009,2009-06-17,1,CA,0,2,1
137209,2009,2009-11-28,1,CA,0,1,1
137210,2009,2009-12-01,0,CA,1,1,1
137211,2009,2009-03-06,0,CA,1,1,1
137212,2009,2009-04-20,0,CA,0,1,1
137213,2009,2009-05-18,0,CA,0,1,1
137214,2009,2009-07-04,0,CA,0,1,1
137215,2009,2009-09-09,0,CA,1,1,1
137216,2009,2009-04-05,1,CA,0,1,1
137217,2009,2009-07-18,1,CA,0,2,1
137218,2009,2009-01-07,1,CA,0,1,3
137219,2009,2009-04-02,1,CA,0,1,1
137220,2009,2009-05-11,1,CA,0,1,1
137221,2009,2009-08-05,1,CA,0,1,1
137222,2009,2009-09-28,0,CA,0,3,2
137223,2009,2009-08-17,0,CA,0,1,1
137224,2009,2009-05-10,0,CA,2,1,1
137225,2009,2009-02-02,1,CA,6,0,1
137226,2009,2009-01-21,1,CA,0,1,1
137227,2009,2009-02-26,1,CA,6,0,1
137228,2009,2009-01-07,1,CA,6,0,1
137229,2009,2009-01-12,1,CA,0,1,1
137230,2009,2009-01-15,1,CA,6,0,1
137231,2009,2009-01-18,1,CA,6,0,1
137232,2009,2009-01-23,1,CA,6,0,1
137233,2009,2009-05-06,1,CA,6,0,1
137234,2009,2009-05-20,1,CA,1,1,1
137235,2009,2009-03-27,1,CA,6,0,1
137236,2009,2009-02-28,1,CA,6,0,2
137237,2009,2009-06-30,1,CA,0,1,1
137238,2009,2009-09-20,1,CA,6,0,1
137239,2009,2009-10-05,1,CA,0,1,1
137240,2009,2009-10-17,1,CA,6,0,1
137241,2009,2009-11-01,1,CA,0,2,1
137242,2009,2009-11-25,1,CA,1,6,2
137243,2009,2009-05-31,0,CA,0,3,1
137244,2009,2009-08-02,0,CA,0,3,1
137245,2009,2009-03-18,0,CA,0,1,1
137246,2009,2009-09-10,0,CA,0,7,3
137247,2009,2009-02-27,0,CA,6,0,1
137248,2009,2009-12-02,0,CA,6,0,1
137249,2009,2009-01-19,0,CA,0,3,3
137250,2009,2009-06-01,0,CA,0,1,1
137251,2009,2009-09-23,0,CA,6,1,1
137252,2009,2009-02-15,0,CA,6,0,1
137253,2009,2009-05-07,0,CA,6,0,1
137254,2009,2009-03-24,0,CA,0,1,1
137255,2009,2009-09-14,0,CA,0,1,1
137256,2009,2009-09-19,0,CA,0,1,1
137257,2009,2009-10-09,0,CA,6,1,1
137258,2009,2009-03-11,0,CA,5,2,1
137259,2009,2009-08-04,0,CA,0,3,1
137260,2009,2009-12-01,0,CA,0,7,2
137261,2009,2009-08-23,0,CA,6,0,1
137262,2009,2009-05-17,0,CA,6,0,2
137263,2009,2009-03-11,7,CA,0,1,1
137264,2009,2009-04-14,0,CA,6,0,1
137265,2009,2009-12-03,0,CA,0,1,1
137266,2009,2009-12-31,0,CA,0,2,1
137267,2009,2009-03-11,0,CA,0,2,1
137268,2009,2009-04-24,0,CA,1,2,2
137269,2009,2009-04-24,0,CA,6,0,1
137270,2009,2009-06-06,0,CA,0,1,1
137271,2009,2009-02-18,0,CA,0,2,1
137272,2009,2009-02-20,0,CA,0,3,1
137273,2009,2009-08-30,0,CA,6,0,1
137274,2009,2009-03-31,0,CA,0,3,1
137275,2009,2009-03-31,0,CA,1,1,1
137276,2009,2009-06-18,0,CA,6,0,2
137277,2009,2009-12-15,0,CA,0,2,1
137278,2009,2009-09-21,0,CA,0,1,1
137279,2009,2009-05-09,0,CA,6,0,1
137280,2009,2009-10-25,0,CA,0,7,2
137281,2009,2009-02-17,0,CA,6,0,1
